scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,risk_adjusted_return,expense_efficiency,return_consistency,sip_type,returns_3yr_score,returns_5yr_score,sharpe_score,alpha_score,expense_ratio_score,beta_score,return_score,alpha_beta_score,final_score,rank
Dsp Bond Fund,500,500,0.39,333.0,10,Vivek Ramakrishnan,0.98,1.17,2.36,1.02,0.62,3,Dsp Mutual Fund,3,Debt,Medium Duration Funds,3.8,6.1,4.9,2.033333333333333,5.71,4.933333333333333,Affordable SIP,0.041116005873715125,0.3296703296703297,0.3317972350230415,0.35788177339901484,0.8494208494208494,0.10894308943089437,0.18539316777202242,0.25830629981176667,0.3916178714403946,551.0
Dsp Credit Risk Fund,500,500,0.38,210.0,10,Laukik Bagwe,1.23,2.84,4.32,0.26,0.58,4,Dsp Mutual Fund,3,Debt,Credit Risk Funds,10.8,6.6,4.5,1.65,6.22,7.3,Affordable SIP,0.04845814977973567,0.315018315018315,0.3225806451612903,0.3990147783251232,0.8532818532818532,0.12953929539295395,0.18173823239902534,0.29122458515225547,0.39421557308516986,543.0
Dsp Dynamic Asset Allocation Fund,500,500,0.71,3770.0,9,Atul Bhole,2.7,-0.92,8.62,0.53,1.03,5,Dsp Mutual Fund,3,Hybrid,Dynamic Asset Allocation Or Balanced Advantage,1.7,12.2,8.3,2.44,11.489999999999998,7.3999999999999995,Affordable SIP,0.13069016152716592,0.45421245421245426,0.42626728110599077,0.30640394088669953,0.7258687258687259,0.12222222222222223,0.2924513078698101,0.2327312534209086,0.41861084884944,463.0
Dsp Equity & Bond Fund,500,500,0.78,7358.0,10,Atul Bhole,2.7,0.51,12.7,0.83,1.25,6,Dsp Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,0.6,18.7,10.7,3.1166666666666667,17.919999999999998,10.0,Affordable SIP,0.22613803230543317,0.5421245421245421,0.4769585253456221,0.34162561576354683,0.6988416988416988,0.11409214092140918,0.3841312872149876,0.25061222582669174,0.46134647853954797,278.0
Dsp Equity Opportunities Fund,500,500,0.91,7110.0,10,Rohit Singhania,2.87,1.89,16.6,0.93,1.4,6,Dsp Mutual Fund,3,Equity,Large & Mid Cap Funds,3.2,31.6,11.7,5.266666666666667,30.69,15.5,Affordable SIP,0.41556534508076354,0.5787545787545787,0.511520737327189,0.37561576354679804,0.6486486486486487,0.11138211382113816,0.4971599619176711,0.2699223036565341,0.5038186399431486,150.0
Dsp Equity Savings Fund,500,500,0.4,535.0,7,Kedar Karnik,3.55,4.83,6.37,0.88,1.75,4,Dsp Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,4.0,14.6,7.8,3.65,14.2,8.8,Affordable SIP,0.1659324522760646,0.4358974358974359,0.5921658986175115,0.44802955665024635,0.8455598455598455,0.11273712737127373,0.30091494408675024,0.3139125849386573,0.4972760064889624,164.0
Dsp Flexi Cap Fund,500,500,0.76,7725.0,10,Atul Bhole,2.56,-1.47,16.67,0.93,1.23,6,Dsp Mutual Fund,3,Equity,Flexi Cap Funds,-0.1,22.8,12.0,3.8000000000000003,22.04,11.566666666666668,Affordable SIP,0.2863436123348017,0.5897435897435898,0.47235023041474655,0.29285714285714287,0.7065637065637065,0.11138211382113816,0.4380436010391957,0.22026713124274097,0.47936848282596534,227.0
Dsp Focus Fund,500,500,1.08,1784.0,10,Vinit Sambre,2.4,-2.77,16.44,0.9,1.11,6,Dsp Mutual Fund,2,Equity,Focused Funds,-1.7,20.4,8.9,3.4,19.32,9.200000000000001,Affordable SIP,0.25110132158590304,0.47619047619047616,0.4447004608294931,0.2608374384236453,0.583011583011583,0.1121951219512195,0.3636458988881896,0.20138051183467498,0.41035842424927144,498.0
Dsp Global Allocation Fund,500,500,1.43,70.0,9,Jay Kothari,1.15,2.0,10.88,0.865,0.67,6,Dsp Mutual Fund,0,Other,Fofs Overseas,0.6,12.6,7.9,2.1,11.17,7.033333333333334,Affordable SIP,0.13656387665198236,0.43956043956043955,0.3433179723502304,0.3783251231527094,0.44787644787644787,0.11314363143631434,0.28806215810621094,0.2722525264661514,0.33669544865156514,622.0
Dsp G-Sec Fund,500,500,0.54,430.0,10,Vikram Chopra,0.93,1.15,2.85,0.62,0.64,3,Dsp Mutual Fund,4,Debt,Gilt Mutual Funds,4.4,5.9,8.6,1.9666666666666668,5.36,6.3,Affordable SIP,0.03817914831130691,0.4652014652014652,0.33640552995391704,0.3573891625615764,0.7915057915057915,0.11978319783197833,0.25169030675638604,0.26234677666973716,0.40518569307024627,513.0
Dsp India T.I.G.E.R. Fund,500,500,1.34,1797.0,10,Rohit Singhania,3.58,10.78,17.58,0.64,1.78,6,Dsp Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,15.8,36.4,11.9,6.066666666666666,35.059999999999995,21.36666666666667,Affordable SIP,0.4860499265785609,0.5860805860805861,0.5990783410138248,0.5945812807881774,0.48262548262548255,0.1192411924119241,0.5360652563295735,0.40444524543767607,0.5155649282066164,131.0
Dsp Liquidity Fund,500,500,0.15,13582.0,10,Kedar Karnik,4.19,1.29,0.37,0.73,0.83,3,Dsp Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3,1.4333333333333333,4.1499999999999995,5.066666666666666,Affordable SIP,0.014684287812041119,0.3443223443223443,0.380184331797235,0.36083743842364535,0.9420849420849421,0.1168021680216802,0.17950331606719272,0.26322333026285927,0.42284292784698846,445.0
Dsp Low Duration Fund,500,500,0.3,3340.0,8,Karan Mundhara,3.06,2.97,0.83,1.35,1.4,2,Dsp Mutual Fund,2,Debt,Low Duration Funds,5.1,5.5,6.3,2.75,5.2,5.633333333333333,Affordable SIP,0.032305433186490456,0.38095238095238093,0.511520737327189,0.40221674876847296,0.8841698841698842,0.09999999999999998,0.2066289070694357,0.28133004926108374,0.4481976887248457,327.0
Dsp Midcap Fund,500,500,0.77,13213.0,10,Vinit Sambre,2.26,-6.18,15.81,0.85,1.2,6,Dsp Mutual Fund,2,Equity,Mid Cap Mutual Funds,-3.9,21.1,9.5,3.516666666666667,20.330000000000002,8.9,Affordable SIP,0.26138032305433184,0.4981684981684982,0.46543778801843316,0.1768472906403941,0.7027027027027026,0.11355013550135507,0.37977441061141504,0.1515284285847785,0.4434022618116451,356.0
Dsp Natural Resources & New Energy – Direct Growth,500,500,1.21,673.0,10,Rohit Singhania,2.31,21.48,23.46,0.43,1.39,6,Dsp Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-0.7,44.3,12.0,7.383333333333333,43.089999999999996,18.53333333333333,Affordable SIP,0.6020558002936856,0.5897435897435898,0.5092165898617511,0.8581280788177341,0.5328185328185329,0.12493224932249325,0.5958996950186377,0.5648497470196377,0.5581352912373843,55.0
Dsp Nifty 50 Equal Weight Index Fund,500,500,0.4,498.0,5,Anil Ghelani,3.22,3.52,17.4,1.01,1.51,6,Dsp Mutual Fund,3,Other,Index Funds,2.2,30.9,10.7,5.1499999999999995,30.5,14.6,Affordable SIP,0.40528634361233473,0.5421245421245421,0.5368663594470046,0.4157635467980296,0.8455598455598455,0.10921409214092137,0.4737054428684384,0.2931437649351863,0.5522169751670156,68.0
Dsp Regular Savings Fund,500,500,0.51,199.0,10,Vikram Chopra,2.68,2.26,4.28,0.61,1.55,3,Dsp Mutual Fund,2,Hybrid,Conservative Hybrid Mutual Funds,3.0,10.8,6.0,3.6,10.290000000000001,6.6000000000000005,Affordable SIP,0.11013215859030837,0.36996336996337,0.5460829493087558,0.3847290640394089,0.803088803088803,0.12005420054200544,0.24004776427683916,0.2788591186404475,0.4478367641407547,332.0
Dsp Savings Fund,500,500,0.25,3903.0,10,Kedar Karnik,1.82,3.15,0.81,1.65,1.15,3,Dsp Mutual Fund,2,Debt,Money Market Funds,5.0,5.3,5.9,1.7666666666666666,5.05,5.400000000000001,Affordable SIP,0.029368575624082224,0.36630036630036633,0.4539170506912442,0.4066502463054188,0.9034749034749034,0.09186991869918704,0.19783447096222428,0.2807381152629261,0.4378966416813034,375.0
Dsp Short Term Fund,500,500,0.3,2821.0,10,Laukik Bagwe,1.75,4.96,1.67,2.51,0.96,2,Dsp Mutual Fund,2,Debt,Short Duration Funds,4.1,6.1,6.7,3.05,5.8,5.633333333333333,Affordable SIP,0.041116005873715125,0.39560439560439564,0.41013824884792627,0.4512315270935961,0.8841698841698842,0.06856368563685633,0.21836020073905538,0.29816439051090016,0.43513885968431354,387.0
Dsp Small Cap Fund,500,500,0.9,8953.0,10,Vinit Sambre,3.38,4.28,18.67,0.86,1.78,6,Dsp Mutual Fund,2,Equity,Small Cap Mutual Funds,0.7,38.9,12.5,6.483333333333333,38.0,17.366666666666667,Affordable SIP,0.5227606461086636,0.6080586080586081,0.5990783410138248,0.43448275862068975,0.6525096525096525,0.11327913279132795,0.5654096270836358,0.306001308288945,0.5550071284069742,63.0
Dsp Strategic Bond Fund,500,500,0.47,481.0,10,Vikram Chopra,0.48,0.84,3.0,1.36,0.41,2,Dsp Mutual Fund,3,Debt,Dynamic Bond,3.0,5.4,7.3,2.7,4.930000000000001,5.233333333333333,Affordable SIP,0.030837004405286347,0.41758241758241754,0.2834101382488479,0.3497536945812808,0.8185328185328186,0.09972899728997286,0.22420971099385195,0.24974381566475762,0.3884606890302287,559.0
Dsp Tax Saver Fund,500,500,0.81,10129.0,10,Rohit Singhania,3.19,2.57,16.3,0.94,1.51,6,Dsp Mutual Fund,4,Equity,Elss Mutual Funds,1.8,28.8,13.3,4.8,27.990000000000002,14.633333333333335,Affordable SIP,0.3744493392070484,0.6373626373626374,0.5368663594470046,0.39236453201970445,0.6872586872586872,0.11111111111111116,0.5059059882848429,0.2798631636562671,0.52352981356645,119.0
Dsp Top 100 Equity Fund,500,500,1.27,2605.0,10,Abhishek Singh,2.98,-1.79,15.88,0.91,1.18,6,Dsp Mutual Fund,1,Equity,Large Cap Mutual Funds,3.6,21.8,8.9,3.6333333333333333,20.53,11.433333333333335,Affordable SIP,0.27165932452276065,0.47619047619047616,0.4608294930875576,0.2849753694581281,0.5096525096525096,0.11192411924119239,0.3739249003566184,0.21575486937135382,0.4015122165789894,519.0
Dsp Ultra Short Fund,500,500,0.3,2736.0,10,Kedar Karnik,3.54,2.39,0.52,1.19,1.54,2,Dsp Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,4.9,5.5,2.45,4.6000000000000005,5.3,Affordable SIP,0.023494860499265788,0.3516483516483516,0.543778801843318,0.3879310344827587,0.8841698841698842,0.10433604336043367,0.1875716060738087,0.2744930380338287,0.44600082954573245,339.0
Dsp Us Flexible Equity Fund,500,500,1.52,770.0,10,Jay Kothari,1.95,2.0,16.4,0.865,1.1,6,Dsp Mutual Fund,0,Other,Fofs Overseas,2.2,23.8,13.6,3.966666666666667,22.28,13.200000000000001,Affordable SIP,0.30102790014684283,0.6483516483516484,0.44239631336405527,0.3783251231527094,0.4131274131274131,0.11314363143631434,0.47468977424924563,0.2722525264661514,0.4224749046242852,447.0
Dsp World Gold Fund,500,500,1.81,777.0,10,Jay Kothari,1.11,2.0,36.51,0.865,0.4,6,Dsp Mutual Fund,0,Other,Fofs Overseas,-9.0,14.8,10.2,2.466666666666667,12.99,5.333333333333333,Affordable SIP,0.16886930983847281,0.5238095238095238,0.28110599078341014,0.3783251231527094,0.3011583011583011,0.11314363143631434,0.3463394168239983,0.2722525264661514,0.3108844191457793,634.0
Dsp World Mining Fund,500,500,1.5,188.0,10,Jay Kothari,1.68,2.0,28.33,0.865,1.08,6,Dsp Mutual Fund,0,Other,Fofs Overseas,-5.4,37.1,15.0,6.183333333333334,35.6,15.566666666666668,Affordable SIP,0.49632892804698964,0.6996336996336997,0.4377880184331797,0.3783251231527094,0.4208494208494209,0.11314363143631434,0.5979813138403447,0.2722525264661514,0.47280036340505177,247.0
Edelweiss Aggressive Hybrid Fund,500,5000,0.36,469.0,10,Bharat Lahoti,3.83,5.57,11.66,0.79,1.72,6,Edelweiss Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,6.5,24.6,13.0,4.1000000000000005,24.240000000000002,14.700000000000001,Affordable SIP,0.31277533039647576,0.6263736263736264,0.5852534562211982,0.466256157635468,0.8610038610038611,0.11517615176151763,0.46957447838505106,0.3258241552858879,0.5690050711421085,45.0
Edelweiss Arbitrage Fund,500,5000,0.37,5393.0,9,Bhavesh Jain,1.61,1.78,0.72,0.63,1.31,1,Edelweiss Mutual Fund,5,Hybrid,Arbitrage Mutual Funds,5.8,5.0,5.7,5.0,4.63,5.5,Affordable SIP,0.024963289280469897,0.358974358974359,0.4907834101382489,0.37290640394088675,0.8571428571428572,0.11951219512195121,0.19196882412741445,0.2715487204133125,0.4299622340263267,411.0
Edelweiss Balanced Advantage Fund,500,5000,0.51,8780.0,10,Bhavesh Jain,3.31,2.1,9.71,0.67,1.48,6,Edelweiss Mutual Fund,4,Hybrid,Dynamic Asset Allocation Or Balanced Advantage,2.9,18.5,12.0,3.0833333333333335,17.99,11.133333333333333,Affordable SIP,0.22320117474302492,0.5897435897435898,0.5299539170506913,0.3807881773399015,0.803088803088803,0.11842818428184287,0.40647238224330734,0.27584418011667805,0.5107285640971636,138.0
Edelweiss Banking & Psu Debt Fund,500,5000,0.26,355.0,10,Dhawal Dalal,0.78,6.29,3.68,3.18,0.55,3,Edelweiss Mutual Fund,2,Debt,Banking And Psu Mutual Funds,3.5,6.9,7.9,2.3000000000000003,6.640000000000001,6.1000000000000005,Affordable SIP,0.052863436123348026,0.43956043956043955,0.315668202764977,0.4839901477832513,0.8996138996138996,0.05040650406504066,0.2462119378418938,0.310556690295967,0.4331053941376229,399.0
Edelweiss Equity Savings Fund,500,5000,0.7,258.0,8,Bharat Lahoti,3.22,2.41,5.29,0.79,1.53,4,Edelweiss Mutual Fund,5,Hybrid,Equity Savings Mutual Funds,4.4,12.1,9.0,3.025,11.4,8.5,Affordable SIP,0.1292217327459618,0.4798534798534798,0.5414746543778802,0.3884236453201971,0.7297297297297298,0.11517615176151763,0.3045376062997208,0.2791246478967253,0.45441110301240567,303.0
Edelweiss Europe Dynamic Equity Offshore – Dir Growth,500,5000,1.5,83.0,9,Bhavesh Jain,1.64,2.0,19.12,0.865,0.93,6,Edelweiss Mutual Fund,0,Other,Fofs Overseas,9.2,25.2,7.6,4.2,23.7,14.0,Affordable SIP,0.3215859030837004,0.4285714285714286,0.4032258064516129,0.3783251231527094,0.4208494208494209,0.11314363143631434,0.3750786658275645,0.2722525264661514,0.3767268618036263,582.0
Edelweiss Flexi Cap Fund,500,5000,0.56,1056.0,8,Trideep Bhattacharya,3.41,1.91,16.02,0.92,1.46,6,Edelweiss Mutual Fund,3,Equity,Flexi Cap Funds,1.9,27.5,12.1,4.583333333333333,26.94,13.833333333333334,Affordable SIP,0.35535976505139494,0.5934065934065934,0.5253456221198156,0.3761083743842365,0.7837837837837838,0.11165311653116528,0.4743831792289942,0.270326271243008,0.531317282747958,102.0
Edelweiss Govt Securities Fund,500,5000,0.66,119.0,9,Dhawal Dalal,1.63,1.77,2.77,0.61,0.88,3,Edelweiss Mutual Fund,5,Debt,Gilt Mutual Funds,4.3,6.8,8.2,2.2666666666666666,6.14,6.433333333333333,Affordable SIP,0.0513950073421439,0.4505494505494505,0.39170506912442393,0.3726600985221675,0.7451737451737452,0.12005420054200544,0.2509722289457972,0.2716177393301027,0.40576600259615536,508.0
Edelweiss Greater China Equity Off-Shore Fund,500,5000,1.44,1897.0,10,Bhavesh Jain,0.6,2.0,25.75,0.865,0.3,6,Edelweiss Mutual Fund,0,Other,Fofs Overseas,-4.1,9.0,6.1,1.5,7.5600000000000005,3.6666666666666665,Affordable SIP,0.08370044052863435,0.37362637362637363,0.25806451612903225,0.3783251231527094,0.444015444015444,0.11314363143631434,0.228663407077504,0.2722525264661514,0.29492000603059176,638.0
Edelweiss Large & Mid Cap Fund,500,5000,0.6,1711.0,10,Abhishek Gupta,3.56,2.77,15.87,0.9,1.47,6,Edelweiss Mutual Fund,4,Equity,Large & Mid Cap Funds,1.2,27.8,13.2,4.633333333333334,27.2,14.066666666666668,Affordable SIP,0.3597650513950073,0.6336996336996337,0.5276497695852534,0.39729064039408873,0.7683397683397684,0.1121951219512195,0.49673234254732046,0.28325243301694103,0.5387956979734622,88.0
Edelweiss Large Cap Fund,500,5000,0.93,399.0,10,Bharat Lahoti,3.25,0.95,15.71,0.93,1.4,6,Edelweiss Mutual Fund,4,Equity,Large Cap Mutual Funds,4.9,26.0,12.8,4.333333333333333,25.07,14.566666666666668,Affordable SIP,0.3333333333333333,0.6190476190476191,0.511520737327189,0.35246305418719215,0.640926640926641,0.11138211382113816,0.47619047619047616,0.25603067804077057,0.4914165998794041,179.0
Edelweiss Liquid Fund,500,5000,0.15,1543.0,10,Rahul Dedhia,6.74,1.47,0.38,0.8,1.08,3,Edelweiss Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.4,5.4,1.4666666666666668,4.25,5.133333333333334,Affordable SIP,0.016152716593245242,0.34798534798534797,0.4377880184331797,0.3652709359605912,0.9420849420849421,0.11490514905149052,0.1820690322892966,0.2651246211969509,0.4356751453031327,383.0
Edelweiss Long Term Equity Fund,500,500,0.69,209.0,10,Trideep Bhattacharya,3.18,0.61,15.73,0.9,1.39,6,Edelweiss Mutual Fund,3,Equity,Elss Mutual Funds,0.9,25.6,10.2,4.266666666666667,24.91,12.233333333333334,Affordable SIP,0.3274596182085169,0.5238095238095238,0.5092165898617511,0.34408866995073895,0.7335907335907337,0.1121951219512195,0.42563457100902036,0.25133125075093116,0.4931945173862815,172.0
Edelweiss Mid Cap Fund,500,5000,0.57,2530.0,10,Trideep Bhattacharya,3.85,2.21,17.63,0.96,1.73,6,Edelweiss Mutual Fund,4,Equity,Mid Cap Mutual Funds,4.9,35.5,14.0,5.916666666666667,34.93,18.133333333333333,Affordable SIP,0.4728340675477239,0.6630036630036631,0.5875576036866359,0.38349753694581284,0.7799227799227799,0.11056910569105693,0.5679188652756935,0.27432616444391045,0.5808086864948862,36.0
Edelweiss Money Market Fund,500,5000,0.26,346.0,10,Dhawal Dalal,2.05,2.56,0.6,1.45,1.03,2,Edelweiss Mutual Fund,1,Debt,Money Market Funds,4.9,4.7,7.3,2.35,4.44,5.633333333333334,Affordable SIP,0.02055800293685757,0.41758241758241754,0.42626728110599077,0.3921182266009853,0.8996138996138996,0.09728997289972896,0.21907021025963755,0.2741869251204827,0.4389130539966005,367.0
Edelweiss Recently Listed Ipo Fund,500,5000,0.61,859.0,5,Bhavesh Jain,1.63,0.04,17.77,0.83,1.09,6,Edelweiss Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-13.8,24.3,10.9,4.05,23.69,7.133333333333333,Affordable SIP,0.3083700440528634,0.5494505494505495,0.44009216589861755,0.3300492610837439,0.7644787644787645,0.11409214092140918,0.42891029675170644,0.24366641301881,0.48725220495291877,191.0
Edelweiss Us Value Equity Offshore Fund,500,5000,1.43,90.0,10,Bhavesh Jain,2.17,2.0,16.38,0.865,1.03,6,Edelweiss Mutual Fund,0,Other,Fofs Overseas,2.0,23.8,11.5,3.966666666666667,22.37,12.433333333333332,Affordable SIP,0.30102790014684283,0.5714285714285714,0.42626728110599077,0.3783251231527094,0.44787644787644787,0.11314363143631434,0.4362282357877071,0.2722525264661514,0.41255174147531565,493.0
Franklin Build India Fund,500,5000,1.3,1184.0,10,Ajay Argal,3.18,8.05,19.06,0.71,1.6,6,Franklin Templeton Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,16.0,36.1,13.3,6.016666666666667,34.800000000000004,21.8,Affordable SIP,0.4816446402349485,0.6373626373626374,0.5576036866359447,0.5273399014778326,0.4980694980694981,0.11734417344173442,0.559503638798793,0.3633416102633933,0.5143408089035896,133.0
Franklin India Banking & Psu Debt Fund,500,5000,0.16,712.0,9,Umesh Sharma,1.06,3.72,1.74,1.87,0.7,2,Franklin Templeton Mutual Fund,2,Debt,Banking And Psu Mutual Funds,4.2,6.1,7.2,3.05,5.9399999999999995,5.833333333333333,Affordable SIP,0.041116005873715125,0.4139194139194139,0.35023041474654376,0.42068965517241386,0.9382239382239382,0.08590785907859078,0.2275177098965645,0.28677693673488464,0.4386256919741518,371.0
Franklin India Bluechip Fund,500,5000,1.01,6205.0,10,Anand Radhakrishnan,2.72,0.71,16.83,0.92,1.28,6,Franklin Templeton Mutual Fund,2,Equity,Large Cap Mutual Funds,-1.0,25.1,9.7,4.183333333333334,24.09,11.266666666666666,Affordable SIP,0.3201174743024963,0.5054945054945055,0.4838709677419355,0.34655172413793106,0.61003861003861,0.11165311653116528,0.4128059898985009,0.25259228109522475,0.45229508418172376,313.0
Franklin India Corporate Debt Fund,500,10000,0.21,748.0,10,Santosh Kamath,1.65,1.68,1.8,0.56,1.02,2,Franklin Templeton Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.4,6.3,7.0,3.15,6.09,5.8999999999999995,Affordable SIP,0.04405286343612334,0.4065934065934066,0.423963133640553,0.37044334975369464,0.9189189189189189,0.1214092140921409,0.22532313501476497,0.27082969548907315,0.4452760647871073,346.0
Franklin India Debt Hybrid Fund,500,10000,0.57,246.0,10,Rajasa Kakulavarapu,2.98,1.26,3.89,0.59,1.42,4,Franklin Templeton Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,5.1,9.8,7.0,2.45,9.23,7.3,Affordable SIP,0.09544787077826725,0.4065934065934066,0.5161290322580645,0.3600985221674877,0.7799227799227799,0.12059620596205967,0.2510206386858369,0.2642975956853165,0.43825939625944016,374.0
Franklin India Dynamic Asset Allocation Fofs-Dir-G,500,5000,0.46,1103.0,10,Rajasa Kakulavarapu,1.87,8.57,10.19,0.3,1.39,4,Franklin Templeton Mutual Fund,3,Other,Fofs Domestic,5.9,18.2,9.2,4.55,17.74,11.1,Affordable SIP,0.2187958883994126,0.4871794871794871,0.5092165898617511,0.5401477832512316,0.8223938223938224,0.1284552845528455,0.3529876877894499,0.37547078377187715,0.5049574662523674,147.0
Franklin India Equity Advantage Fund,500,5000,1.37,2556.0,10,R Janakiraman,3.41,2.99,17.49,0.96,1.43,6,Franklin Templeton Mutual Fund,2,Equity,Large & Mid Cap Funds,-0.9,27.7,9.2,4.616666666666666,26.33,12.0,Affordable SIP,0.3582966226138032,0.4871794871794871,0.5184331797235022,0.40270935960591137,0.471042471042471,0.11056910569105693,0.4227380548966452,0.2858532580399696,0.4334204643699717,395.0
Franklin India Equity Hybrid Fund,500,5000,1.2,1347.0,10,Rajasa Kakulavarapu,3.24,3.49,12.1,0.8,1.51,6,Franklin Templeton Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,5.3,22.5,11.0,3.75,21.3,12.933333333333332,Affordable SIP,0.2819383259911894,0.5531135531135531,0.5368663594470046,0.415024630541872,0.5366795366795367,0.11490514905149052,0.4175259395523713,0.2949768379457194,0.4528000575720915,308.0
Franklin India Feeder – Franklin U.S. Opp.-Dir Growth,500,5000,0.72,2880.0,10,Sandeep Manam,0.95,2.0,23.08,0.865,0.5,6,Franklin Templeton Mutual Fund,0,Other,Fofs Overseas,-12.1,17.4,11.6,2.9,16.68,5.633333333333333,Affordable SIP,0.20704845814977968,0.575091575091575,0.30414746543778803,0.3783251231527094,0.722007722007722,0.11314363143631434,0.39107001662067736,0.2722525264661514,0.43859730920768175,372.0
Franklin India Flexi Cap Fund,500,5000,1.1,9989.0,10,Anand Radhakrishnan,3.27,4.83,16.63,0.93,1.6,6,Franklin Templeton Mutual Fund,4,Equity,Flexi Cap Funds,3.8,31.1,12.0,5.183333333333334,30.0,15.633333333333333,Affordable SIP,0.408223201174743,0.5897435897435898,0.5576036866359447,0.44802955665024635,0.5752895752895753,0.11138211382113816,0.49898339545916637,0.3133705795186031,0.5019420762610397,152.0
Franklin India Floating Rate Fund,500,1000,0.21,311.0,10,Pallab Roy,2.6,2.33,0.84,0.75,1.58,2,Franklin Templeton Mutual Fund,4,Debt,Floater Mutual Funds,5.8,5.6,6.2,2.8,5.39,5.866666666666666,Affordable SIP,0.033773861967694566,0.3772893772893773,0.5529953917050692,0.3864532019704434,0.9189189189189189,0.11626016260162597,0.20553161962853592,0.2783759862229164,0.46429785385559535,272.0
Franklin India Focused Equity Fund,500,5000,1.16,8022.0,10,Ajay Argal,3.17,3.6,18.62,0.98,1.43,6,Franklin Templeton Mutual Fund,4,Equity,Focused Funds,5.1,30.9,12.9,5.1499999999999995,29.74,16.3,Affordable SIP,0.40528634361233473,0.6227106227106227,0.5184331797235022,0.4177339901477833,0.5521235521235521,0.11002710027100271,0.5139984831614788,0.29465123419707107,0.4915146023697407,178.0
Franklin India G-Sec Fund,500,10000,0.57,121.0,10,Sachin Padwal Desai,0.04,-0.49,2.35,0.52,0.04,3,Franklin Templeton Mutual Fund,2,Debt,Gilt Mutual Funds,3.5,4.1,6.3,1.3666666666666665,3.53,4.633333333333333,Affordable SIP,0.011747430249632894,0.38095238095238093,0.19815668202764974,0.3169950738916256,0.7799227799227799,0.12249322493224934,0.1963499056010069,0.2391943343078751,0.34903114377280897,612.0
Franklin India Liquid Fund,500,10000,0.13,1511.0,10,Pallab Roy,4.44,1.34,0.38,0.74,0.9,2,Franklin Templeton Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.4,2.15,4.17,5.1,Affordable SIP,0.014684287812041119,0.34798534798534797,0.39631336405529954,0.36206896551724144,0.9498069498069498,0.11653116531165308,0.18133481789869454,0.26385384543500606,0.42882641423752604,422.0
Franklin India Multi-Asset Solution Fund,500,5000,0.44,45.0,8,Rajasa Kakulavarapu,0.34,5.14,12.82,-0.01,0.39,4,Franklin Templeton Mutual Fund,1,Other,Fofs Domestic,4.1,8.7,5.3,2.175,8.26,6.033333333333332,Affordable SIP,0.079295154185022,0.3443223443223443,0.2788018433179723,0.4556650246305419,0.8301158301158301,0.13685636856368566,0.21180874925368315,0.3281415622037994,0.3972340602245952,533.0
Franklin India Nse Nifty 50 Index Fund,500,5000,0.24,482.0,10,Varun Sharma,3.44,-0.79,16.58,0.99,1.3,6,Franklin Templeton Mutual Fund,3,Other,Index Funds,0.9,25.6,11.6,4.266666666666667,25.360000000000003,12.700000000000001,Affordable SIP,0.3274596182085169,0.575091575091575,0.48847926267281105,0.3096059113300493,0.9073359073359073,0.1097560975609756,0.45127559665004596,0.22966598582241982,0.5394899659019204,85.0
Franklin India Opportunities Fund,500,5000,1.79,657.0,10,R Janakiraman,3.45,4.7,16.65,0.92,1.58,6,Franklin Templeton Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,7.9,31.0,11.5,5.166666666666667,29.21,16.8,Affordable SIP,0.40675477239353885,0.5714285714285714,0.5529953917050692,0.4448275862068966,0.3088803088803088,0.11165311653116528,0.4890916719110551,0.3115577983366041,0.4301894940760037,409.0
Franklin India Prima Fund,500,5000,1.06,7359.0,10,R Janakiraman,3.06,-4.41,17.67,0.96,1.36,6,Franklin Templeton Mutual Fund,2,Equity,Mid Cap Mutual Funds,4.5,26.6,10.0,4.433333333333334,25.540000000000003,13.700000000000001,Affordable SIP,0.342143906020558,0.5164835164835165,0.5023041474654378,0.2204433497536946,0.5907335907335907,0.11056910569105693,0.42931371125203727,0.17649365212863954,0.44634375949659605,337.0
Franklin India Savings Fund,500,10000,0.1,1084.0,10,Umesh Sharma,3.34,2.67,0.63,1.29,1.5,2,Franklin Templeton Mutual Fund,3,Debt,Money Market Funds,5.3,5.2,6.1,2.6,5.1000000000000005,5.533333333333334,Affordable SIP,0.02790014684287813,0.37362637362637363,0.5345622119815668,0.3948275862068966,0.9613899613899614,0.10162601626016265,0.20076326023462587,0.277546958228203,0.46919728057188453,258.0
